[Simulation].RunIndex(1)	[Simulation].RunIndex(2)	[BaristaQ].AverageQueueTime
		s
3.0	2.0	5.124969860495443
3.0	3.0	2.680369586013998
3.0	4.0	2.002782774709317
3.0	5.0	3.873489194244605
3.0	6.0	2.170833310344806
3.0	7.0	3.7340384898255907
3.0	8.0	2.008203998589552
3.0	9.0	2.977715834030683
3.0	10.0	2.5941338382978527
3.0	11.0	3.6579825823129153
3.0	12.0	2.312001213709691
3.0	13.0	3.4528700940525856
3.0	14.0	2.3814204485842185
3.0	15.0	3.0347215171428825
3.0	16.0	1.6563605965166726
3.0	17.0	3.0334854897660857
3.0	18.0	3.7289692026666685
3.0	19.0	3.846969015965149
3.0	20.0	2.5657385591549255
3.0	21.0	2.952364232592599
3.0	22.0	2.3993756132930444
3.0	23.0	1.3853468032786935
3.0	24.0	2.3616311070422427
3.0	25.0	2.3416377155297483
3.0	26.0	5.477483946531773
3.0	27.0	2.3776164927536065
3.0	28.0	3.442097537572245
3.0	29.0	2.6238051617440163
3.0	30.0	2.0794050030075053
3.0	31.0	2.6237064838256074
3.0	32.0	1.7732862098214193
3.0	33.0	3.366131960396054
3.0	34.0	3.3178114372574425
3.0	35.0	1.9032786194029951
3.0	36.0	2.47191026387008
3.0	37.0	2.3792086743515735
3.0	38.0	2.5415674479637964
3.0	39.0	2.8155568783216878
3.0	40.0	3.860262281118873
3.0	41.0	1.9742077136628007
3.0	42.0	1.2986607701863269
3.0	43.0	2.6362355198412675
3.0	44.0	1.9149730814132235
3.0	45.0	2.224078146131816
3.0	46.0	2.3312225367965342
3.0	47.0	3.3078712278480666
3.0	48.0	1.940102944527704
3.0	49.0	3.3290839707601982
3.0	50.0	2.5130780651558147
3.0	51.0	2.2269492289326074
3.0	52.0	1.9826745673352464
3.0	53.0	3.1072308847736956
3.0	54.0	3.4409289535211247
3.0	55.0	2.0412206638297894
3.0	56.0	5.319818776504316
3.0	57.0	3.516466758418739
3.0	58.0	2.3834481648522616
3.0	59.0	1.6538073002873621
3.0	60.0	1.7511343040446152
3.0	61.0	2.0574023621700874
3.0	62.0	2.500345665137607
3.0	63.0	1.2381816708683457
3.0	64.0	2.5278308282548654
3.0	65.0	3.6451887404692394
3.0	66.0	2.7203911711840214
3.0	67.0	2.161442064896769
3.0	68.0	2.090757798484853
3.0	69.0	2.235769878397697
3.0	70.0	1.7397839395770678
3.0	71.0	2.7667219884892247
3.0	72.0	1.7084015319767283
3.0	73.0	3.82624237270342
3.0	74.0	2.058114282857148
3.0	75.0	2.0379459110787104
3.0	76.0	2.53465420913106
3.0	77.0	2.448340378338271
3.0	78.0	2.7585105960665692
3.0	79.0	1.9681083804195783
3.0	80.0	2.6455315734265747
3.0	81.0	1.6353451803278682
3.0	82.0	1.768076334841631
3.0	83.0	2.1779975697503633
3.0	84.0	1.9531164048641048
3.0	85.0	1.9477476934749693
3.0	86.0	3.163233148040667
3.0	87.0	3.432400419836974
3.0	88.0	4.37509838450897
3.0	89.0	4.284340549525091
3.0	90.0	3.608212926300602
3.0	91.0	1.1985701567732197
3.0	92.0	1.118717642962977
3.0	93.0	1.9616477827338483
3.0	94.0	2.944379586861331
3.0	95.0	2.454093275813301
3.0	96.0	2.1008484549237187
3.0	97.0	2.548220162241876
3.0	98.0	4.096514771312579
